,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
4549,CF América,Defender Right-Back,180.0,34.0,55,0.024083489,0.264918384,0.240834894,0.0,0.024083489,0.0,0.0,3737,77,9,8,1200000,10000000
4550,CF América,midfield-DefensiveMidfield,175.0,28.0,59,0.0,0.063761955,0.446333688,0.0,0.0,0.0,0.0,2823,204,24,4,3500000,7500000
4551,CF América,midfield-CentralMidfield,176.0,26.0,80,0.130666236,0.130666236,0.058073883,0.0,0.014518471,0.0,0.0,6199,0,0,0,7000000,7000000
4552,CF América,midfield-CentralMidfield,173.0,27.0,71,0.11031665,0.11031665,0.165474974,0.0,0.018386108,0.0,0.0,4895,17,3,2,6000000,7500000
4554,CF América,midfield-AttackingMidfield,179.0,29.0,77,0.388317292,0.34351145,0.149352805,0.0,0.01493528,0.0,0.0,6026,10,0,0,6000000,6000000
4556,CF América,Attack-LeftWinger,180.0,28.0,56,0.31165833,0.10388611,0.380915737,0.034628703,0.0,0.0,0.0,2599,136,25,3,2000000,5000000
4557,CF América,Attack-RightWinger,165.0,25.0,71,0.369863014,0.105675147,0.193737769,0.017612524,0.0,0.0,0.0,5110,362,43,2,5000000,5000000
4558,CF América,Attack-RightWinger,167.0,27.0,56,0.369863014,0.184931507,0.092465753,0.0,0.0,0.0,0.0,2920,440,41,1,3000000,3000000
4560,CF América,Attack Centre-Forward,178.0,29.0,60,0.36108325,0.090270812,0.180541625,0.0,0.0,0.0,0.0,3988,126,8,8,6000000,8000000
4561,CF América,Attack Centre-Forward,180.0,30.0,76,0.615161558,0.27961889,0.093206297,0.0,0.0,0.0,0.0,4828,169,18,3,6000000,6000000
4563,CF Monterrey,Goalkeeper,194.0,32.0,71,0.0,0.0,0.156028369,0.0,0.014184397,0.836879433,0.425531915,6345,161,28,5,3000000,10000000
4565,CF Monterrey,Goalkeeper,184.0,22.0,42,0.0,0.0,0.0,0.0,0.0,1.25,0.240384615,3744,0,0,0,200000,200000
