,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
778,Hertha BSC,Defender Right-Back,176.0,26.0,51,0.0,0.095137421,0.095137421,0.023784355,0.0,0.0,0.0,3784,119,15,5,4000000,12000000
779,Hertha BSC,Defender Right-Back,177.0,36.0,36,0.0,0.0,0.032656023,0.0,0.0,0.0,0.0,2756,513,42,3,500000,3500000
780,Hertha BSC,Defender Right-Back,179.0,19.0,48,0.067180891,0.179149042,0.223936303,0.02239363,0.0,0.0,0.0,4019,0,0,0,350000,350000
781,Hertha BSC,midfield-DefensiveMidfield,185.0,26.0,69,0.134554289,0.067277144,0.100915717,0.016819286,0.0,0.0,0.0,5351,15,3,1,11000000,25000000
782,Hertha BSC,midfield-DefensiveMidfield,185.0,26.0,63,0.061983471,0.041322314,0.268595041,0.0,0.0,0.0,0.0,4356,0,0,3,4000000,6000000
783,Hertha BSC,midfield-DefensiveMidfield,185.0,31.0,60,0.057544757,0.095907928,0.268542199,0.0,0.0,0.0,0.0,4692,591,139,3,1500000,4500000
784,Hertha BSC,midfield-CentralMidfield,184.0,26.0,68,0.153256705,0.076628352,0.287356322,0.0,0.0,0.0,0.0,4698,348,40,1,6500000,25000000
785,Hertha BSC,midfield-AttackingMidfield,178.0,29.0,57,0.058651026,0.117302053,0.175953079,0.0,0.0,0.0,0.0,3069,387,55,8,2000000,6000000
787,Hertha BSC,Attack-LeftWinger,176.0,25.0,53,0.161348153,0.258157046,0.064539261,0.0,0.0,0.0,0.0,2789,100,13,0,7500000,9000000
788,Hertha BSC,Attack-RightWinger,187.0,25.0,62,0.321182768,0.18353301,0.252357889,0.0,0.0,0.0,0.0,3923,70,7,0,12000000,21000000
789,Hertha BSC,Attack-RightWinger,176.0,25.0,62,0.295809367,0.172555464,0.345110929,0.0,0.0,0.0,0.0,3651,105,11,1,6000000,10000000
792,Hertha BSC,Attack Centre-Forward,189.0,25.0,68,0.533295711,0.152370203,0.152370203,0.0,0.0,0.0,0.0,3544,160,22,0,3000000,4000000
793,Hertha BSC,Attack Centre-Forward,187.0,32.0,59,0.354098361,0.236065574,0.118032787,0.0,0.0,0.0,0.0,3050,459,50,5,2200000,10000000
795,Hertha BSC,Attack Centre-Forward,185.0,20.0,56,0.605815832,0.242326333,0.048465267,0.0,0.0,0.0,0.0,3714,48,8,0,700000,700000
796,Hertha BSC,Attack Centre-Forward,180.0,17.0,44,0.528132551,0.372799448,0.186399724,0.0,0.0,0.0,0.0,2897,0,0,0,250000,250000
797,FC Schalke 04,Goalkeeper,190.0,30.0,53,0.0,0.0,0.038626609,0.0,0.0,2.278969957,0.173819742,4660,251,35,4,900000,9000000
799,FC Schalke 04,Goalkeeper,196.0,22.0,52,0.019230769,0.0,0.153846154,0.0,0.0,1.019230769,0.307692308,4680,143,19,0,225000,250000
801,FC Schalke 04,Defender Centre-Back,190.0,24.0,50,0.064841499,0.0,0.280979827,0.021613833,0.0,0.0,0.0,4164,88,13,2,5500000,5500000
802,FC Schalke 04,Defender Centre-Back,192.0,21.0,60,0.051883167,0.017294389,0.190238278,0.0,0.0,0.0,0.0,5204,244,26,2,5000000,5000000
803,FC Schalke 04,Defender Centre-Back,187.0,21.0,35,0.033039648,0.0,0.462555066,0.0,0.0,0.0,0.0,2724,383,43,0,1500000,2500000
804,FC Schalke 04,Defender Centre-Back,189.0,34.0,57,0.039534373,0.059301559,0.118603119,0.0,0.0,0.0,0.0,4553,485,52,1,1500000,7000000
805,FC Schalke 04,Defender Centre-Back,192.0,31.0,42,0.121918179,0.073150908,0.121918179,0.0,0.0,0.0,0.0,3691,495,62,5,1000000,3500000
806,FC Schalke 04,Defender Centre-Back,187.0,23.0,43,0.0,0.0,0.181512605,0.0,0.0,0.0,0.0,2975,0,0,1,1000000,1000000
807,FC Schalke 04,Defender Centre-Back,183.0,31.0,34,0.062849162,0.125698324,0.125698324,0.0,0.031424581,0.0,0.0,2864,94,8,5,700000,7000000
809,FC Schalke 04,Defender Left-Back,183.0,26.0,49,0.074606245,0.248687483,0.049737497,0.0,0.0,0.0,0.0,3619,379,39,1,2500000,3000000
811,FC Schalke 04,Defender Right-Back,180.0,29.0,57,0.0,0.019263699,0.211900685,0.0,0.0,0.0,0.0,4672,328,37,3,2500000,3200000
813,FC Schalke 04,midfield-DefensiveMidfield,186.0,25.0,44,0.0,0.059191056,0.088786583,0.0,0.0,0.0,0.0,3041,71,8,3,5500000,10000000
814,FC Schalke 04,midfield-DefensiveMidfield,180.0,30.0,57,0.092181632,0.030727211,0.46090816,0.030727211,0.0,0.0,0.0,2929,280,43,11,3000000,6500000
816,FC Schalke 04,midfield-CentralMidfield,182.0,21.0,66,0.092478422,0.073982737,0.221948212,0.0,0.0,0.0,0.0,4866,7,1,0,6000000,6000000
820,FC Schalke 04,midfield-LeftMidfield,183.0,27.0,54,0.199888951,0.349805664,0.074958356,0.0,0.0,0.0,0.0,3602,324,34,0,1800000,1800000
821,FC Schalke 04,midfield-AttackingMidfield,178.0,23.0,55,0.222588623,0.3215169,0.222588623,0.0,0.0,0.0,0.0,3639,124,11,1,3500000,3500000
822,FC Schalke 04,midfield-AttackingMidfield,183.0,33.0,53,0.275735294,0.275735294,0.220588235,0.0,0.027573529,0.0,0.0,3264,279,36,4,900000,4000000
823,FC Schalke 04,Attack-LeftWinger,188.0,30.0,69,0.391156463,0.238095238,0.119047619,0.0,0.0,0.0,0.0,5292,38,5,2,2500000,3000000
825,FC Schalke 04,Attack Centre-Forward,188.0,28.0,84,0.570824524,0.12108399,0.155679416,0.0,0.0,0.0,0.0,5203,531,71,3,3000000,5000000
826,FC Schalke 04,Attack Centre-Forward,192.0,32.0,57,0.354652925,0.163685965,0.19096696,0.0,0.0,0.0,0.0,3299,536,58,0,1700000,2250000
827,FC Schalke 04,Attack Centre-Forward,189.0,29.0,57,0.101275319,0.135033758,0.101275319,0.0,0.0,0.0,0.0,2666,231,28,2,1400000,3500000
828,FC Schalke 04,Attack Centre-Forward,192.0,35.0,65,0.681670634,0.116857823,0.175286734,0.0,0.0,0.0,0.0,4621,497,45,8,1000000,4000000
829,VfL Bochum,Goalkeeper,186.0,34.0,72,0.0,0.0,0.083707952,0.0,0.0,1.716013021,0.209269881,6451,374,30,2,1200000,1200000
833,VfL Bochum,Defender Centre-Back,189.0,24.0,54,0.089064819,0.0,0.222662048,0.0,0.0,0.0,0.0,4042,28,5,2,5000000,5000000
834,VfL Bochum,Defender Centre-Back,195.0,30.0,52,0.020675396,0.020675396,0.144727774,0.0,0.0,0.0,0.0,4353,361,49,7,3500000,5000000
839,VfL Bochum,Defender Left-Back,170.0,31.0,59,0.0,0.018645121,0.186451212,0.0,0.0,0.0,0.0,4827,0,0,2,2200000,2200000
840,VfL Bochum,Defender Left-Back,178.0,29.0,45,0.0,0.17090771,0.239270794,0.0,0.034181542,0.0,0.0,2633,491,72,0,1800000,4500000
843,VfL Bochum,Defender Right-Back,175.0,33.0,48,0.024006402,0.0,0.216057615,0.0,0.0,0.0,0.0,3749,271,33,14,700000,2000000
845,VfL Bochum,midfield-DefensiveMidfield,185.0,37.0,71,0.070555033,0.04233302,0.155221072,0.0,0.014111007,0.0,0.0,6378,43,4,1,500000,900000
848,VfL Bochum,midfield-AttackingMidfield,175.0,29.0,60,0.185895544,0.106226025,0.185895544,0.0,0.0,0.0,0.0,3389,695,64,0,2500000,6000000
849,VfL Bochum,midfield-AttackingMidfield,188.0,28.0,50,0.203696718,0.33949453,0.305545077,0.0,0.0,0.0,0.0,2651,170,15,1,2500000,3500000
850,VfL Bochum,Attack-LeftWinger,185.0,28.0,59,0.164583968,0.246875952,0.0,0.0,0.0,0.0,0.0,3281,283,37,1,3500000,4500000
851,VfL Bochum,Attack-LeftWinger,174.0,29.0,59,0.105201636,0.315604909,0.157802455,0.0,0.0,0.0,0.0,3422,15,3,1,1800000,2000000
852,VfL Bochum,Attack-RightWinger,173.0,28.0,58,0.170316302,0.145985401,0.0486618,0.0,0.0,0.0,0.0,3699,225,32,5,4000000,4000000
853,VfL Bochum,Attack Centre-Forward,195.0,30.0,74,0.437105391,0.131131617,0.145701797,0.0,0.0,0.0,0.0,6177,26,3,1,2500000,2500000
857,SV Werder Bremen,Goalkeeper,196.0,31.0,58,0.0,0.0,0.017344382,0.0,0.0,1.560994411,0.173443823,5189,115,10,1,3000000,12000000
859,SV Werder Bremen,Goalkeeper,194.0,19.0,46,0.0,0.0,0.021582734,0.0,0.0,1.575539568,0.237410072,4170,0,0,0,300000,300000
861,SV Werder Bremen,Goalkeeper,190.0,19.0,41,0.0,0.0,0.024390244,0.0,0.0,1.414634146,0.341463415,3690,180,13,0,150000,150000
862,SV Werder Bremen,Defender Centre-Back,187.0,25.0,59,0.069902913,0.052427184,0.314563107,0.0,0.017475728,0.0,0.0,5150,138,18,3,6500000,7500000
863,SV Werder Bremen,Defender Centre-Back,192.0,25.0,60,0.037838974,0.018919487,0.264872819,0.0,0.0,0.0,0.0,4757,61,9,5,6000000,7000000
864,SV Werder Bremen,Defender Centre-Back,190.0,28.0,58,0.020435967,0.0,0.265667575,0.0,0.0,0.0,0.0,4404,209,25,2,5500000,20000000
865,SV Werder Bremen,Defender Centre-Back,188.0,27.0,57,0.037656904,0.056485356,0.112970711,0.0,0.0,0.0,0.0,4780,222,25,2,5000000,12000000
867,SV Werder Bremen,Defender Left-Back,179.0,22.0,55,0.030874786,0.030874786,0.185248714,0.0,0.0,0.0,0.0,2915,26,6,1,3500000,3500000
868,SV Werder Bremen,Defender Left-Back,186.0,31.0,66,0.069084629,0.1208981,0.155440415,0.0,0.0,0.0,0.0,5211,105,10,2,1500000,1500000
869,SV Werder Bremen,Defender Right-Back,177.0,29.0,57,0.131099782,0.284049527,0.196649672,0.0,0.0,0.0,0.0,4119,323,42,11,5500000,14000000
871,SV Werder Bremen,midfield-DefensiveMidfield,185.0,23.0,58,0.031152648,0.0,0.186915888,0.0,0.0,0.0,0.0,2889,24,3,0,3000000,3000000
872,SV Werder Bremen,midfield-DefensiveMidfield,182.0,34.0,54,0.022244192,0.066732575,0.222441918,0.022244192,0.0,0.0,0.0,4046,461,62,2,500000,500000
874,SV Werder Bremen,midfield-CentralMidfield,187.0,26.0,70,0.232208127,0.096753386,0.232208127,0.0,0.0,0.0,0.0,4651,196,19,1,3500000,4000000
876,SV Werder Bremen,midfield-AttackingMidfield,168.0,23.0,63,0.10845987,0.21691974,0.238611714,0.0,0.0,0.0,0.0,4149,67,7,2,4500000,5000000
877,SV Werder Bremen,midfield-AttackingMidfield,171.0,29.0,49,0.162699608,0.18981621,0.488098825,0.0,0.0,0.0,0.0,3319,319,45,0,3500000,7000000
878,SV Werder Bremen,midfield-AttackingMidfield,184.0,25.0,51,0.180360721,0.216432866,0.216432866,0.0,0.0,0.0,0.0,2495,124,15,2,2500000,2500000
880,SV Werder Bremen,Attack Centre-Forward,189.0,30.0,64,0.59647794,0.238591176,0.136337815,0.0,0.0,0.0,0.0,5281,783,91,2,13000000,15000000
881,SV Werder Bremen,Attack Centre-Forward,188.0,29.0,69,0.528346193,0.286816505,0.120764844,0.0,0.0,0.0,0.0,5962,0,0,4,6500000,6500000
883,Eintracht Frankfurt,Goalkeeper,189.0,32.0,94,0.0,0.0,0.084507042,0.0,0.0,1.404929577,0.190140845,8520,316,47,17,8500000,12000000
886,Eintracht Frankfurt,Goalkeeper,194.0,18.0,41,0.0,0.0,0.048780488,0.0,0.0,0.975609756,0.365853659,3690,46,8,0,200000,250000
887,Eintracht Frankfurt,Defender Centre-Back,192.0,23.0,88,0.069000767,0.057500639,0.138001533,0.011500128,0.0,0.0,0.0,7826,89,11,1,32000000,32000000
888,Eintracht Frankfurt,Defender Centre-Back,185.0,23.0,82,0.077933324,0.012988887,0.168855535,0.038966662,0.0,0.0,0.0,6929,37,4,1,15000000,15000000
889,Eintracht Frankfurt,Defender Centre-Back,185.0,22.0,42,0.058958402,0.029479201,0.38322961,0.029479201,0.0,0.0,0.0,3053,203,28,2,5000000,5000000
891,Eintracht Frankfurt,Defender Centre-Back,180.0,39.0,53,0.0,0.024610336,0.098441345,0.0,0.0,0.0,0.0,3657,226,36,10,800000,5000000
892,Eintracht Frankfurt,Defender Centre-Back,188.0,20.0,52,0.041512915,0.08302583,0.124538745,0.0,0.020756458,0.0,0.0,4336,0,0,0,0,0
893,Eintracht Frankfurt,Defender Left-Back,177.0,29.0,88,0.026825633,0.12071535,0.12071535,0.0,0.0,0.0,0.0,6710,161,27,4,6000000,20000000
894,Eintracht Frankfurt,Defender Left-Back,180.0,28.0,52,0.0,0.105509965,0.351699883,0.0,0.0,0.0,0.0,2559,500,72,3,5000000,5000000
895,Eintracht Frankfurt,Defender Left-Back,182.0,20.0,38,0.0,0.240320427,0.0,0.0,0.0,0.0,0.0,2996,158,20,0,200000,200000
896,Eintracht Frankfurt,Defender Right-Back,172.0,26.0,45,0.086317136,0.20140665,0.258951407,0.0,0.0,0.0,0.0,3128,661,101,1,6000000,6000000
898,Eintracht Frankfurt,midfield-DefensiveMidfield,181.0,26.0,86,0.06022081,0.045165607,0.270993643,0.0,0.0,0.0,0.0,5978,268,30,4,9000000,9000000
899,Eintracht Frankfurt,midfield-CentralMidfield,184.0,26.0,91,0.083654229,0.071703625,0.215110875,0.0,0.0,0.0,0.0,7531,275,42,3,22000000,22000000
900,Eintracht Frankfurt,midfield-CentralMidfield,179.0,32.0,67,0.135664757,0.054265903,0.271329515,0.0,0.0,0.0,0.0,3317,172,30,7,2500000,10000000
901,Eintracht Frankfurt,midfield-CentralMidfield,188.0,19.0,55,0.364900087,0.260642919,0.104257168,0.0,0.0,0.0,0.0,3453,76,6,0,800000,800000
902,Eintracht Frankfurt,midfield-CentralMidfield,172.0,19.0,60,0.270967742,0.483870968,0.290322581,0.0,0.0,0.0,0.0,4650,10,2,0,300000,300000
904,Eintracht Frankfurt,midfield-AttackingMidfield,184.0,26.0,93,0.331125828,0.145695364,0.052980132,0.0,0.0,0.0,0.0,6795,85,11,2,30000000,30000000
905,Eintracht Frankfurt,midfield-AttackingMidfield,182.0,23.0,77,0.251346499,0.233393178,0.035906643,0.0,0.0,0.0,0.0,5013,89,16,2,28000000,28000000
906,Eintracht Frankfurt,midfield-AttackingMidfield,176.0,30.0,98,0.16932146,0.225761947,0.203185752,0.0,0.0,0.0,0.0,7973,184,39,18,13000000,55000000
909,Eintracht Frankfurt,Attack-RightWinger,180.0,21.0,69,0.115355037,0.115355037,0.184568059,0.0,0.0,0.0,0.0,3901,56,7,3,10000000,10000000
910,Eintracht Frankfurt,Attack Centre-Forward,187.0,24.0,87,0.460554371,0.307036247,0.115138593,0.012793177,0.012793177,0.0,0.0,7035,4,1,2,65000000,65000000
911,Eintracht Frankfurt,Attack Centre-Forward,174.0,27.0,92,0.256264237,0.20501139,0.187927107,0.0,0.0,0.0,0.0,5268,35,9,10,12000000,20000000
913,Eintracht Frankfurt,Attack Centre-Forward,192.0,18.0,50,0.91234347,0.402504472,0.563506261,0.0,0.0,0.0,0.0,3354,217,22,0,0,0
914,SC Freiburg,Goalkeeper,195.0,29.0,81,0.0,0.0,0.0,0.0,0.0,1.207317073,0.329268293,7380,498,69,3,7000000,7000000
915,SC Freiburg,Goalkeeper,190.0,21.0,59,0.0,0.0,0.050561798,0.0,0.0,0.994382022,0.438202247,5340,17,4,2,3500000,3500000
917,SC Freiburg,Defender Centre-Back,189.0,26.0,77,0.079587325,0.0,0.119380987,0.0,0.0,0.0,0.0,6785,317,42,3,20000000,20000000
918,SC Freiburg,Defender Centre-Back,191.0,29.0,78,0.078878177,0.052585451,0.09202454,0.0,0.0,0.0,0.0,6846,197,29,6,20000000,35000000
920,SC Freiburg,Defender Centre-Back,187.0,20.0,56,0.0,0.020057945,0.140405616,0.0,0.0,0.0,0.0,4487,10,2,1,750000,750000
921,SC Freiburg,Defender Left-Back,184.0,30.0,86,0.035545024,0.18957346,0.130331754,0.0,0.0,0.0,0.0,7596,32,4,3,10000000,12000000
923,SC Freiburg,Defender Right-Back,186.0,21.0,63,0.020954598,0.041909197,0.209545984,0.020954598,0.0,0.0,0.0,4295,18,4,1,12000000,12000000
924,SC Freiburg,Defender Right-Back,182.0,30.0,67,0.104428544,0.017404757,0.139238058,0.0,0.0,0.0,0.0,5171,1006,99,2,3000000,3000000
927,SC Freiburg,midfield-DefensiveMidfield,181.0,33.0,79,0.06405694,0.102491103,0.230604982,0.0,0.012811388,0.0,0.0,7025,247,29,3,2500000,4500000
928,SC Freiburg,midfield-CentralMidfield,181.0,26.0,83,0.057070387,0.071337984,0.142675967,0.0,0.0,0.0,0.0,6308,24,3,1,8000000,30000000
929,SC Freiburg,midfield-CentralMidfield,192.0,20.0,49,0.081325301,0.189759036,0.352409639,0.0,0.0,0.0,0.0,3320,31,4,0,2000000,2000000
930,SC Freiburg,midfield-CentralMidfield,181.0,19.0,56,0.099889012,0.07991121,0.299667037,0.0,0.0,0.0,0.0,4505,7,1,0,1400000,1400000
931,SC Freiburg,midfield-AttackingMidfield,179.0,27.0,51,0.386992744,0.290244558,0.217683418,0.0,0.0,0.0,0.0,3721,494,66,1,8000000,8000000
932,SC Freiburg,Attack-LeftWinger,180.0,30.0,86,0.407916604,0.203958302,0.05438888,0.0,0.0,0.0,0.0,6619,222,26,1,12000000,12000000
934,SC Freiburg,Attack-RightWinger,172.0,24.0,84,0.292841649,0.162689805,0.081344902,0.0,0.0,0.0,0.0,5532,50,8,1,15000000,15000000
935,SC Freiburg,Attack-RightWinger,183.0,26.0,63,0.197430273,0.366656221,0.282043247,0.0,0.0,0.0,0.0,3191,325,49,1,10000000,16000000
936,SC Freiburg,Attack-SecondStriker,179.0,23.0,71,0.201471059,0.143907899,0.086344739,0.0,0.0,0.0,0.0,3127,155,18,5,4000000,5500000
937,SC Freiburg,Attack Centre-Forward,193.0,29.0,70,0.490797546,0.122699387,0.224948875,0.0,0.0,0.0,0.0,4401,160,26,1,8000000,20000000
938,SC Freiburg,Attack Centre-Forward,184.0,28.0,73,0.232419547,0.196662694,0.089392133,0.0,0.0,0.0,0.0,5034,111,14,0,5000000,6500000
940,Borussia Dortmund,Goalkeeper,194.0,25.0,75,0.0,0.0,0.0,0.0,0.0,1.324324324,0.351351351,6660,135,18,1,35000000,35000000
941,Borussia Dortmund,Goalkeeper,190.0,22.0,48,0.0,0.0,0.104553903,0.0,0.0,1.421933086,0.292750929,4304,28,4,0,1500000,1500000
942,Borussia Dortmund,Goalkeeper,195.0,32.0,44,0.0,0.0,0.022819473,0.0,0.0,1.414807302,0.251014199,3944,841,97,2,1000000,1000000
943,Borussia Dortmund,Goalkeeper,185.0,22.0,28,0.0,0.0,0.035714286,0.0,0.0,1.357142857,0.178571429,2520,315,45,4,650000,1500000
944,Borussia Dortmund,Defender Centre-Back,191.0,23.0,77,0.111593304,0.097644141,0.125542467,0.0,0.0,0.0,0.0,6452,160,21,2,40000000,40000000
945,Borussia Dortmund,Defender Centre-Back,195.0,27.0,79,0.048042705,0.096085409,0.112099644,0.0,0.0,0.0,0.0,5620,360,53,15,35000000,60000000
946,Borussia Dortmund,Defender Centre-Back,191.0,34.0,70,0.035594226,0.035594226,0.195768242,0.0,0.017797113,0.0,0.0,5057,227,22,17,6500000,60000000
948,Borussia Dortmund,Defender Centre-Back,186.0,23.0,59,0.038793103,0.058189655,0.465517241,0.0,0.0,0.0,0.0,4640,0,0,0,600000,600000
949,Borussia Dortmund,Defender Left-Back,170.0,29.0,64,0.189946278,0.310821182,0.086339217,0.0,0.0,0.0,0.0,5212,158,32,5,20000000,40000000
950,Borussia Dortmund,Defender Left-Back,193.0,18.0,58,0.104263207,0.396200185,0.166821131,0.0,0.0,0.0,0.0,4316,69,5,1,3500000,3500000
952,Borussia Dortmund,Defender Right-Back,183.0,25.0,77,0.073694985,0.018423746,0.202661208,0.0,0.0,0.0,0.0,4885,45,8,0,10000000,10000000
953,Borussia Dortmund,Defender Right-Back,187.0,28.0,67,0.103448276,0.103448276,0.181034483,0.0,0.0,0.0,0.0,3480,253,23,3,9000000,10000000
954,Borussia Dortmund,Defender Right-Back,191.0,31.0,44,0.054512417,0.16353725,0.245305875,0.0,0.0,0.0,0.0,3302,280,51,16,6500000,35000000
957,Borussia Dortmund,midfield-DefensiveMidfield,183.0,25.0,70,0.036607688,0.054911531,0.274557657,0.0,0.0,0.0,0.0,4917,63,6,4,17000000,17000000
958,Borussia Dortmund,midfield-DefensiveMidfield,186.0,29.0,66,0.153911928,0.038477982,0.327062847,0.0,0.019238991,0.0,0.0,4678,278,48,9,14000000,40000000
959,Borussia Dortmund,midfield-DefensiveMidfield,183.0,18.0,59,0.097852677,0.122315847,0.220168524,0.024463169,0.0,0.0,0.0,3679,168,15,1,1000000,1000000
960,Borussia Dortmund,midfield-CentralMidfield,186.0,19.0,86,0.244798042,0.257037944,0.269277846,0.0,0.0,0.0,0.0,7353,19,4,2,120000000,120000000
961,Borussia Dortmund,midfield-CentralMidfield,178.0,27.0,40,0.067975831,0.271903323,0.237915408,0.033987915,0.0,0.0,0.0,2648,319,50,4,12000000,18000000
962,Borussia Dortmund,midfield-AttackingMidfield,185.0,27.0,82,0.291262136,0.291262136,0.076647931,0.0,0.0,0.0,0.0,5871,154,25,5,40000000,50000000
964,Borussia Dortmund,midfield-AttackingMidfield,180.0,33.0,72,0.359931442,0.445629404,0.13711674,0.0,0.0,0.0,0.0,5251,395,37,10,9000000,50000000
965,Borussia Dortmund,midfield-AttackingMidfield,176.0,20.0,54,0.121065375,0.363196126,0.0968523,0.0,0.0,0.0,0.0,3717,46,5,1,300000,300000
966,Borussia Dortmund,Attack-LeftWinger,180.0,21.0,76,0.592958616,0.277949351,0.296479308,0.0,0.018529957,0.0,0.0,4857,165,21,9,35000000,35000000
968,Borussia Dortmund,Attack-RightWinger,178.0,24.0,73,0.379746835,0.279813458,0.079946702,0.0,0.0,0.0,0.0,4503,398,30,1,16000000,30000000
970,Borussia Dortmund,Attack Centre-Forward,191.0,28.0,65,0.784035656,0.255267423,0.127633712,0.0,0.0,0.0,0.0,4936,287,40,6,30000000,45000000
972,Borussia Dortmund,Attack Centre-Forward,188.0,35.0,64,0.554050726,0.110810145,0.199458262,0.0,0.0,0.0,0.0,4061,291,17,1,1000000,20000000
973,Bayer 04 Leverkusen,Goalkeeper,192.0,33.0,89,0.0,0.0,0.03358209,0.0,0.01119403,1.354477612,0.279850746,8040,101,10,7,2500000,12000000
974,Bayer 04 Leverkusen,Goalkeeper,182.0,26.0,43,0.0,0.0,0.046153846,0.0,0.0,1.315384615,0.161538462,3900,158,17,1,1500000,2500000
977,Bayer 04 Leverkusen,Defender Centre-Back,194.0,24.0,76,0.042586751,0.028391167,0.127760252,0.0,0.0,0.0,0.0,6340,107,14,0,30000000,40000000
978,Bayer 04 Leverkusen,Defender Centre-Back,183.0,21.0,76,0.046224961,0.030816641,0.30816641,0.030816641,0.01540832,0.0,0.0,5841,24,1,1,25000000,25000000
979,Bayer 04 Leverkusen,Defender Centre-Back,195.0,27.0,89,0.036709721,0.036709721,0.146838885,0.0,0.0,0.0,0.0,7355,227,28,0,20000000,40000000
980,Bayer 04 Leverkusen,Defender Centre-Back,191.0,22.0,69,0.0,0.060066741,0.180200222,0.0,0.0,0.0,0.0,4495,99,5,3,20000000,23000000
981,Bayer 04 Leverkusen,Defender Left-Back,185.0,22.0,70,0.094063545,0.131688963,0.282190635,0.018812709,0.0,0.0,0.0,4784,59,11,11,9000000,14000000
983,Bayer 04 Leverkusen,Defender Right-Back,171.0,22.0,82,0.14858172,0.256641153,0.14858172,0.013507429,0.0,0.0,0.0,6663,55,8,3,35000000,35000000
985,Bayer 04 Leverkusen,midfield-DefensiveMidfield,187.0,28.0,74,0.155736287,0.077868143,0.34261983,0.0,0.015573629,0.0,0.0,5779,139,15,3,11000000,13000000
989,Bayer 04 Leverkusen,midfield-CentralMidfield,177.0,24.0,66,0.187940486,0.093970243,0.258418168,0.0,0.0,0.0,0.0,3831,322,56,7,15000000,25000000
990,Bayer 04 Leverkusen,midfield-CentralMidfield,183.0,29.0,72,0.15309377,0.191367212,0.363597704,0.0,0.019136721,0.0,0.0,4703,247,35,1,9000000,32000000
991,Bayer 04 Leverkusen,midfield-CentralMidfield,180.0,26.0,69,0.200668896,0.200668896,0.200668896,0.0,0.0,0.0,0.0,2691,289,37,2,6000000,22000000
992,Bayer 04 Leverkusen,midfield-AttackingMidfield,176.0,20.0,56,0.304200869,0.478029937,0.195557702,0.0,0.0,0.0,0.0,4142,403,54,2,85000000,85000000
993,Bayer 04 Leverkusen,Attack-LeftWinger,177.0,22.0,49,0.122033898,0.213559322,0.061016949,0.0,0.0,0.0,0.0,2950,353,49,8,17000000,35000000
994,Bayer 04 Leverkusen,Attack-LeftWinger,174.0,23.0,73,0.262738854,0.238853503,0.167197452,0.0,0.071656051,0.0,0.0,3768,179,16,0,15000000,15000000
995,Bayer 04 Leverkusen,Attack-RightWinger,170.0,23.0,90,0.373744139,0.301406564,0.204956463,0.012056263,0.0,0.0,0.0,7465,18,2,3,50000000,60000000
997,Bayer 04 Leverkusen,Attack Centre-Forward,191.0,27.0,54,0.670034565,0.143578835,0.0,0.0,0.0,0.0,0.0,3761,420,67,6,30000000,50000000
998,Bayer 04 Leverkusen,Attack Centre-Forward,188.0,20.0,91,0.283159463,0.312965723,0.074515648,0.0,0.0,0.0,0.0,6039,191,26,2,15000000,20000000
999,Bayer 04 Leverkusen,Attack Centre-Forward,186.0,28.0,65,0.456235215,0.273741129,0.091247043,0.0,0.030415681,0.0,0.0,2959,242,38,9,12000000,25000000
1000,Bayern Munich,Goalkeeper,193.0,37.0,55,0.0,0.0,0.018214936,0.0,0.0,0.947176685,0.382513661,4941,724,109,36,7000000,45000000
1001,Bayern Munich,Goalkeeper,183.0,34.0,72,0.0,0.0,0.042167734,0.0,0.0,1.518038419,0.267062315,6403,84,11,11,5000000,13000000
1003,Bayern Munich,Goalkeeper,191.0,20.0,36,0.0,0.0,0.027777778,0.0,0.0,1.361111111,0.277777778,3240,129,10,1,300000,300000
1004,Bayern Munich,Defender Centre-Back,189.0,23.0,85,0.076260415,0.025420138,0.114390623,0.012710069,0.0,0.0,0.0,7081,211,35,12,75000000,75000000
1005,Bayern Munich,Defender Centre-Back,186.0,24.0,81,0.028125,0.1125,0.2390625,0.0,0.0140625,0.0,0.0,6400,268,37,10,60000000,60000000
1006,Bayern Munich,Defender Centre-Back,184.0,27.0,45,0.025481314,0.076443941,0.280294451,0.0,0.0,0.0,0.0,3532,694,72,14,50000000,70000000
1007,Bayern Munich,Defender Left-Back,185.0,22.0,69,0.05180353,0.241749808,0.069071374,0.0,0.0,0.0,0.0,5212,280,38,16,70000000,80000000
1008,Bayern Munich,Defender Left-Back,180.0,33.0,70,0.033860045,0.084650113,0.084650113,0.0,0.0,0.0,0.0,5316,320,52,17,6000000,25000000
1009,Bayern Munich,Defender Right-Back,182.0,29.0,99,0.069381986,0.242836952,0.219709624,0.0,0.011563664,0.0,0.0,7783,181,23,17,60000000,70000000
1010,Bayern Munich,Defender Right-Back,186.0,27.0,79,0.099904853,0.042816365,0.15699334,0.014272122,0.014272122,0.0,0.0,6306,174,21,13,35000000,45000000
1011,Bayern Munich,Defender Right-Back,183.0,25.0,61,0.124166475,0.1655553,0.103472063,0.0,0.0,0.0,0.0,4349,284,52,11,28000000,28000000
1014,Bayern Munich,midfield-DefensiveMidfield,177.0,28.0,86,0.120708155,0.277628755,0.156920601,0.012070815,0.0,0.0,0.0,7456,160,28,22,80000000,90000000
